COM_ACCOUNT#,,COM_COMPANYNAME,,,,COM_LOCKAR,COM_FINANCEDAYS,,AR_TOTAL,,AR_PAID,,Balance,,,L/U,,ML
"6,755.00",,RED ROCK DAIRY,,,,,40,"3,400.32",,,"3,400.32",,0.00,,,,,
"6,767.00",,NYMAN BROS.,,,,,40,"59,580.30",,,"59,580.30",,0.00,,,,,
"6,772.00",,JAMES AHLEM DAIRY,,,,Y,1,"296,900.55",,,"285,928.93",,"10,971.62",,,,Y,
"6,781.00",,ENDEAVOR GOLD DAIRY,,,,,45,"20,933.40",,,"20,933.40",,0.00,,,,,
"6,787.00",,"K.T.'S KITCHENS, INC.",,,,Y,30,"3,000.00",,,"3,000.00",,0.00,,,,Y,
"6,811.00",,O.C.C.S. INC,,,,Y,30,0.00,,,0.00,,0.00,,,,Y,Y
"6,823.00",,DELTA VIEW FARM,,,,,40,"52,864.05",,,"52,864.05",,0.00,,,,,
"6,841.00",,"INTERSTATE COMMODITIES, INC",,,,Y,30,"7,613.32",,,"7,613.32",,0.00,,,,Y,
"6,867.00",,DUTCH DAIRY,,,,,40,"1,510,751.78",,,"1,450,393.22",,"60,358.56",,,,,
"6,876.00",,DELIMEX,,,,,30,"28,000.00",,,"26,900.00",,"1,100.00",,,,,
"6,903.00",,R&M CATTLE,,,,Y,1,"59,626.80",,,"59,626.80",,0.00,,,,,
"6,914.00",,WESTWAY FEED PROD LLC/HEREFORD,,,,,45,437.22,,,437.22,,0.00,,,,,
"6,918.00",,SOUTH WEST PUMPING & DRILLING,,,,,30,30.00,,,30.00,,0.00,,,,,
"6,925.00",,FRONTIER AG,,,,Y,40,"1,437,861.15",,,"1,382,845.41",,"55,015.74",,,,Y,
"6,930.00",,THREE AMIGOS DAIRY,,,,,50,"282,374.00",,,"273,839.50",,"8,534.50",,,,,
"6,935.00",,JONES STEPHENS CORPORATION,,,,,30,"20,275.20",,,"18,849.60",,"1,425.60",,,,,
"6,943.00",,MANUEL LUIS DAIRY,,,,Y,45,-747.00,,,-747.00,,0.00,,,,Y,Y
"6,967.00",,CALFTECH CORP.,,,,,30,"115,425.97",,,"115,443.18",,-17.21,,,,,
"6,968.00",,"RIALTO CONCRETE PRODUCTS, INC",,,,Y,45,"8,098.00",,,"8,073.00",,25.00,,,,Y,
"6,974.00",,HIGHSTREET DAIRY,,,,,45,"1,627.12",,,"1,627.12",,0.00,,,,,
"6,977.00",,DURAN TRUCKING,,,,,30,0.00,,,0.00,,0.00,,,,,
"6,979.00",,SHOPE CONCRETE PRODUCTS CO.,,,,,30,"26,023.68",,,"26,023.68",,0.00,,,,,
"7,007.00",,PRESS-SEAL GASKET CORPORATION,,,,Y,30,"1,670.24",,,"1,670.24",,0.00,,,,Y,Y
"7,047.00",,CODY RAVEN DAIRY,,,,Y,30,"45,553.92",,,"43,249.92",,"2,304.00",,,,Y,
"7,087.00",,VERRADO DAIRY,,,,,40,"103,549.70",,,"103,549.70",,0.00,,,,,
"7,097.00",,"GRAND VIEW DAIRY, LLC",,,,,45,"255,804.80",,,"255,804.80",,0.00,,,,,
"7,111.00",,EAGLE ROOFING / STOCKTON,,,,,30,"293,246.52",,,"292,999.87",,246.65,,,,,
"7,139.00",,"GLOBAL CHEM SOURCE, LLC.",,,,,45,"384,233.60",,,"379,179.55",,"5,054.05",,,,,
"7,166.00",,SOUTH LAKES DAIRY FARM,,,,Y,30,"7,610.62",,,"9,737.17",,"-2,126.55",,,,Y,
"7,188.00",,HEIN HETTINGA/CITRUS VALLEY,,,,,40,"92,716.00",,,"92,716.00",,0.00,,,,,
"7,189.00",,JT CATTLE CO.,,,,Y,40,"5,262.36",,,"5,262.36",,0.00,,,,Y,
"7,195.00",,CARGILL ANIMAL NUTRITION,,,,,30,"343,755.77",,,"180,363.51",,"163,392.26",,,,,
"7,211.00",,"EVANS FOOD WEST, INC",,,,,60,100.00,,,0.00,,100.00,,,,,
"7,223.00",,HOLSTEIN LANE,,,,Y,1,"-3,853.96",,,"-3,853.96",,0.00,,,,,Y
"7,246.00",,TRIPLE H DAIRY,,,,,45,"604,579.18",,,"584,850.17",,"19,729.01",,,,,
"7,271.00",,HEIN HETTINGA/PAINTED ROCK,,,,,40,"41,260.00",,,"41,260.00",,0.00,,,,,
"7,276.00",,"PORTERVILLE CONCRETE PIPE, INC",,,,,1,"2,617.92",,,"2,617.92",,0.00,,,,,
"7,284.00",,"CHEMSOLV CONSULTANTS, INC.",,,,,45,"9,900.01",,,"9,900.01",,0.00,,,,,
"7,290.00",,LANSING GRAIN COMPANY,,,,Y,15,"4,793.78",,,"4,793.78",,0.00,,,,Y,
"7,294.00",,"RANGEN, INC.",,,,,30,"434,116.27",,,"434,116.27",,0.00,,,,,
"7,314.00",,IRS AGRO EXCISE TAX CREDIT,,,,,80,"15,122,227.63",,,"15,121,376.92",,850.71,,,,,
"7,341.00",,"GS POLYMERS, INC.",,,,,30,"5,040.80",,,"5,040.80",,0.00,,,,,
"7,352.00",,ANGELUS BLOCK CO.,,,,,45,"2,693.75",,,"1,856.25",,837.50,,,,,
"7,354.00",,"MGM MARKETING, INC",,,,,30,"8,314.80",,,"8,314.80",,0.00,,,,,
"7,363.00",,"CHEMEX INDUSTRIES, INC.",,,,,30,"1,976.00",,,"1,976.00",,0.00,,,,,
"7,391.00",,TRIPLE V DAIRY,,,,Y,40,"21,876.40",,,"10,290.00",,"11,586.40",,,,Y,
"7,400.00",,COCHRAN COUNTY FEEDYARD,,,,,50,"220,447.11",,,"220,447.11",,0.00,,,,,
"7,435.00",,LAKEVIEW FARMS,,,,,45,"98,791.81",,,"98,791.81",,0.00,,,,,
"7,440.00",,"ALDRAN CHEMICAL, INC",,,,,30,577.49,,,577.49,,0.00,,,,,
"7,449.00",,"KENNY STRICKLAND, INC",,,,,30,"3,228.00",,,"3,228.00",,0.00,,,,,
"7,454.00",,CAPROCK DAIRY,,,,,45,"187,716.48",,,"187,744.52",,-28.04,,,,,
"7,464.00",,"HIGH PLAINS DAIRY, LLC",,,,Y,45,0.00,,,0.00,,0.00,,,,Y,Y
"7,491.00",,DESERT SOUL TRANSPORT,,,,,10,-10.13,,,0.00,,-10.13,,,,,
"7,497.00",,VANDEN BERGE DAIRY,,,,,40,"237,728.74",,,"219,988.50",,"17,740.24",,,,,
"7,530.00",,MINERAL KING DAIRY,,,,,40,"86,196.71",,,"86,196.71",,0.00,,,,,
"7,539.00",,D.J. DAIRY,,,,,40,"59,995.79",,,"58,858.11",,"1,137.68",,,,,
"7,561.00",,"BORAL ROOFING, LLC / FL",,,,,30,"303,684.05",,,"296,284.05",,"7,400.00",,,,,
"7,574.00",,ORCO,,,,,30,"2,358.96",,,"2,534.08",,-175.12,,,,,
"7,604.00",,ELBOW CREEK DAIRY,,,,Y,40,"146,848.15",,,"122,722.50",,"24,125.65",,,,Y,
"7,642.00",,"QUALITY LIQUID FEEDS, INC",,,,,30,"112,051.63",,,"112,051.63",,0.00,,,,,
"7,644.00",,"SHAFER COMMODITIES, INC",,,,,30,"138,977.44",,,"138,977.44",,0.00,,,,,
"7,648.00",,HATH DAIRY,,,,,45,"494,839.94",,,"452,903.28",,"41,936.66",,,,,
"7,678.00",,MICHAEL T. MALANE - CALF RANCH,,,,Y,45,"23,253.14",,,"32,205.60",,"-8,952.46",,,,Y,
"7,696.00",,BLAIR 71L RANCH,,,,,30,"6,409.40",,,"5,164.80",,"1,244.60",,,,,
"7,714.00",,CIRCLE T DAIRY / TX,,,,,40,"87,607.71",,,"87,607.71",,0.00,,,,,
"7,725.00",,"DEMAIO FARM & RANCH, INC.",,,,,30,"22,659.00",,,"22,659.00",,0.00,,,,,
"7,738.00",,PALOMA DAIRY,,,,,45,"709,792.54",,,"709,793.54",,-1.00,,,,,
"7,739.00",,DEL RIO DAIRY/TX,,,,Y,30,"179,934.65",,,"179,934.65",,0.00,,,,Y,
"7,763.00",,ROCKING HORSE DAIRY,,,,,45,"963,669.45",,,"927,284.11",,"36,385.34",,,,,
"7,767.00",,"NEVADA HEIGHTS RANCH, LLC",,,,,45,"56,083.50",,,"56,083.50",,0.00,,,,,
"7,768.00",,"RICHARD BEST TRANSFER, INC.",,,,Y,30,"145,156.96",,,"145,156.96",,0.00,,,,Y,
"7,788.00",,SC FUELS,,,,,10,"395,942.15",,,"395,942.15",,0.00,,,,,
"7,798.00",,WREDEN RANCH,,,,,45,"37,633.35",,,"36,140.70",,"1,492.65",,,,,
"7,819.00",,MID-VALLEY MILK COMPANY,,,,,30,"29,876.40",,,"29,876.40",,0.00,,,,,
"7,825.00",,TWIN RIVER RANCH,,,,,40,"12,383.00",,,"12,383.00",,0.00,,,,,
"7,895.00",,MENDES AND TOSTE,,,,,40,"79,614.62",,,"79,614.62",,0.00,,,,,
"7,900.00",,SUPREME DRAGON,,,,,30,"1,020.00",,,"1,020.00",,0.00,,,,,
"7,909.00",,"NUTRIUS, LLC",,,,Y,30,"437,995.21",,,"424,166.12",,"13,829.09",,,,Y,
"7,924.00",,"WEST LAKE CATTLE, LLC",,,,,45,"3,591.21",,,"3,591.21",,0.00,,,,,
"7,936.00",,CHULETAS TRUCKING,,,,Y,30,0.00,,,0.00,,0.00,,,,Y,
"7,946.00",,EAGLE ROOFING / FL,,,,,60,"16,170.00",,,"16,170.00",,0.00,,,,,
"7,950.00",,TRIPLE G DAIRY - ACCT SERVICES,,,,,45,"98,475.75",,,"98,475.75",,0.00,,,,,
"7,953.00",,VANDERHAM WEST,,,,Y,45,"595,774.04",,,"595,774.04",,0.00,,,,Y,
"8,007.00",,REDTOP JERSEYS,,,,Y,40,"659,294.71",,,"611,523.04",,"47,771.67",,,,Y,
"8,008.00",,"BUSH DISTRIBUTING, CO",,,,,30,"11,717.12",,,"11,717.12",,0.00,,,,,
"8,011.00",,STANDARD CATTLE,,,,Y,30,306.65,,,195.50,,111.15,,,,Y,
"8,015.00",,"BECK OIL, INC",,,,,10,"10,626.00",,,"10,626.00",,0.00,,,,,
"8,021.00",,PRIMOS & COUSINS,,,,Y,1,"7,672.50",,,"7,672.50",,0.00,,,,,
"8,036.00",,PRO PETROLEUM,,,,,10,"60,208.00",,,0.00,,"60,208.00",,,,,
"8,054.00",,"TRI BAK DAIRY, LLC",,,,,40,"94,140.87",,,"92,550.99",,"1,589.88",,,,,
"8,058.00",,BOOTSMA SILVA FARMS,,,,,50,"145,875.75",,,"141,106.77",,"4,768.98",,,,,
"8,065.00",,OIL SERVICES,,,,,40,"107,054.40",,,"107,054.40",,0.00,,,,,
"8,074.00",,DAIRY AVENUE LLC,,,,,45,"496,258.99",,,"494,775.15",,"1,483.84",,,,,
"8,080.00",,OMAHA RANCH,,,,,40,"8,467.20",,,"8,467.20",,0.00,,,,,
"8,117.00",,RP ENVIRONMENTAL,,,,Y,30,0.00,,,0.00,,0.00,,,,Y,N
"8,144.00",,MARTIN ASPHALT,,,,,30,"188,821.56",,,"188,821.56",,0.00,,,,,
"8,158.00",,BAR-DR DAIRY,,,,,30,"5,881.23",,,0.00,,"5,881.23",,,,,
"8,160.00",,FULLMER CATTLE CO. NM LLC,,,,Y,1,"6,553.75",,,"6,553.75",,0.00,,,,,
"8,162.00",,NALCO COMPANY,,,,,30,"878,105.25",,,"878,105.25",,0.00,,,,,
"8,177.00",,"EMERY SERVICES, INC /BIODIESEL",,,,,30,"3,165.65",,,"3,165.65",,0.00,,,,,
"8,193.00",,PARREIRA ALMOND PROCESSING,,,,,30,"94,670.00",,,"94,670.00",,0.00,,,,,
"8,210.00",,EL MOLCAJETE,,,,Y,30,"3,050.00",,,"3,050.00",,0.00,,,,Y,
"8,254.00",,PLAZA GARIBALDI,,,,,30,750.00,,,750.00,,0.00,,,,,
"8,310.00",,CRIMSON RENEWABLE ENERGY L.P,,,,,30,"3,179,695.69",,,"3,165,166.94",,"14,528.75",,,,,
"8,336.00",,QUALITY LIQUID FEEDS/HOLLYPLNT,,,,,30,"733,520.07",,,"658,427.41",,"75,092.66",,,,,
"8,338.00",,PLAZA GARIBALDI / MECCA,,,,,30,750.00,,,750.00,,0.00,,,,,
"8,376.00",,CHINA KING,,,,Y,30,750.00,,,750.00,,0.00,,,,Y,
"8,385.00",,ELGI RUBBER CO. LLC,,,,Y,30,"22,455.76",,,"22,455.76",,0.00,,,,Y,
"8,397.00",,"SHASTA BEVERAGES, INC",,,,,45,"26,279.66",,,"25,318.52",,961.14,,,,,
"8,401.00",,SMITH VALLEY CATTLE FEEDERS,,,,Y,30,"83,246.15",,,"83,246.15",,0.00,,,,Y,
"8,417.00",,FORTERRA / FT. MYERS,,,,,45,"16,788.24",,,"16,788.24",,0.00,,,,,
"8,432.00",,SOUL OF MEXICO,,,,Y,30,"1,875.00",,,"1,875.00",,0.00,,,,Y,
"8,446.00",,"PETE'S ROAD SERVICE, INC/ NT",,,,,30,"25,557.57",,,"25,557.57",,0.00,,,,,
"8,447.00",,ZAPOPAN MEXICAN FOOD,,,,Y,1,750.00,,,750.00,,0.00,,,,,
"8,448.00",,"MESQUITE CATTLE FEEDERS, INC",,,,,40,"694,979.27",,,"633,809.18",,"61,170.09",,,,,
"8,449.00",,STONE LAND COMPANY,,,,,30,"134,552.28",,,"128,725.92",,"5,826.36",,,,,
"8,465.00",,LA CAZUELA RESTAURANT,,,,Y,30,500.00,,,500.00,,0.00,,,,Y,
"8,482.00",,RUDOLPH FOOD CO.,,,,,60,"69,510.00",,,"66,410.00",,"3,100.00",,,,,N
"8,510.00",,ANDY'S BURGER,,,,Y,30,"1,675.00",,,"1,675.00",,0.00,,,,Y,
"8,514.00",,SOUTHERN CROSS DAIRY,,,,,30,"64,642.05",,,0.00,,"64,642.05",,,,,
"8,531.00",,"HI PLAINS FEED, LLC",,,,,30,"33,135.56",,,"33,135.56",,0.00,,,,,
"8,540.00",,ROUTE 77 DAIRY,,,,,40,"100,046.53",,,"100,046.53",,0.00,,,,,
"8,541.00",,CALIFORNIA CHURRO CORP,,,,,30,"1,575.00",,,"1,575.00",,0.00,,,,,
"8,567.00",,LAKESHORE DAIRY,,,,,40,"72,520.00",,,"72,520.00",,0.00,,,,,
"8,568.00",,TONY MARTIN DAIRY,,,,Y,40,"3,980.80",,,"3,980.80",,0.00,,,,Y,
"8,586.00",,KEVIN URBANCZYK,,,,,30,"96,498.41",,,"93,720.69",,"2,777.72",,,,,
"8,587.00",,WILD WEST FARMS,,,,,50,"29,785.75",,,"29,785.75",,0.00,,,,,
"8,591.00",,THE JANKOVICH CO.,,,,,25,"86,579.15",,,"86,579.15",,0.00,,,,,
"8,600.00",,POPLAR LANE DAIRY,,,,Y,45,"399,451.66",,,"380,447.38",,"19,004.28",,,,Y,
"8,652.00",,CULINART / OAKLEY,,,,,60,570.00,,,570.00,,0.00,,,,,
"8,688.00",,"GAVILON GROUP, LLC",,,,,30,"273,174.10",,,"273,174.10",,0.00,,,,,
"8,695.00",,"MIKE ROCHE, INC",,,,,10,"185,199.82",,,"172,797.32",,"12,402.50",,,,,
"8,700.00",,"NEW YORK FROZEN FOODS, INC",,,,,30,"14,400.00",,,"13,800.00",,600.00,,,,,
"8,715.00",,"GAVILON GROUP, LLC / TULARE",,,,,30,"425,049.84",,,"419,443.10",,"5,606.74",,,,,
"8,735.00",,DOMINO'S PIZZA,,,,Y,30,810.00,,,810.00,,0.00,,,,Y,
"8,748.00",,DISNEY WORLDWIDE SHARED SER,,,,,45,"774,053.99",,,"678,469.64",,"95,584.35",,,,,
"8,760.00",,FRANCO AND SONS DAIRY,,,,Y,45,"12,724.25",,,"11,724.25",,"1,000.00",,,,Y,
"8,770.00",,ANITA'S MEXICAN FOODS,,,,,30,"5,800.00",,,0.00,,"5,800.00",,,,,
"8,779.00",,TAQUERIA IXTLAN,,,,Y,30,"1,000.00",,,"1,000.00",,0.00,,,,Y,
"8,803.00",,EL MEXICALI CAFE II,,,,Y,30,"2,200.00",,,"2,200.00",,0.00,,,,Y,
"8,847.00",,LE VALLAURIS,,,,,30,"2,200.00",,,"2,100.00",,100.00,,,,,
"8,870.00",,FRANCESCO'S CAFE,,,,Y,1,750.00,,,750.00,,0.00,,,,,
"8,895.00",,TAQUERIA GUADALAJARA,,,,Y,30,750.00,,,750.00,,0.00,,,,Y,
"8,906.00",,"BURRTEC WASTE INDUSTRIES, INC",,,,,30,"342,185.38",,,"342,185.38",,0.00,,,,,
"8,962.00",,TAQUERIA TORTILLA FACTORY,,,,Y,1,500.00,,,500.00,,0.00,,,,,
"8,964.00",,D&J DAIRY,,,,,45,"128,257.12",,,"128,257.22",,-0.10,,,,,
"8,965.00",,SAM'S SUSHI,,,,Y,1,"1,000.00",,,"1,000.00",,0.00,,,,,
"8,966.00",,SAMURAI SAM'S,,,,Y,1,-250.00,,,-250.00,,0.00,,,,,N
"8,973.00",,3-H DAIRY PROGRESS SITE,,,,,40,"468,428.01",,,"465,001.81",,"3,426.20",,,,,
"8,983.00",,AMALTECH INC.,,,,,30,"469,152.00",,,"469,152.00",,0.00,,,,,
"10,009.00",,"FALCON FUELS, INC.",,,,,30,364.73,,,364.73,,0.00,,,,,
"10,086.00",,"GREEN OAKS DAIRY, LLC.",,,,Y,30,"7,030.80",,,"7,030.80",,0.00,,,,Y,
"10,097.00",,HEIN HETTINGA / VICKSBURG #1,,,,,45,"29,580.00",,,"29,580.00",,0.00,,,,,
"10,098.00",,HEIN HETTINGA / VICKSBURG #2,,,,Y,45,"45,770.00",,,"45,770.00",,0.00,,,,Y,
"10,108.00",,NORTH MULESHOE DAIRY,,,,,40,"395,032.46",,,"395,032.46",,0.00,,,,,
"10,152.00",,GERRIT GRIFFIEON DAIRY,,,,Y,30,"12,608.36",,,"2,016.07",,"10,592.29",,,,Y,
"10,168.00",,PRODUCTOS Y SUB-PRODUCTOS S.DE,,,,,30,"787,880.94",,,"754,895.55",,"32,985.39",,,,,
"10,171.00",,ENVIRONMENTAL MANAGEMENT CORP,,,,Y,30,"242,000.79",,,"228,497.82",,"13,502.97",,,,Y,
"10,173.00",,QUEST RESOURCE MGMT GROUP,,,,Y,30,"4,780,367.92",,,"4,671,038.53",,"109,329.39",,,,Y,
"10,176.00",,"VPS TIRES REPAIR, INC",,,,Y,60,"25,775.83",,,"22,701.03",,"3,074.80",,,,Y,
"10,199.00",,MUSKET CORPORATION,,,,,10,"683,228.95",,,"652,814.95",,"30,414.00",,,,,
"10,244.00",,READY ROAST NUT COMPANY,,,,,60,900.00,,,0.00,,900.00,,,,,
"10,264.00",,FOUR J FARMS,,,,,40,"132,210.40",,,"132,210.40",,0.00,,,,,
"10,266.00",,"SKIP SHAPIROE ENTERPRISES, LLC",,,,Y,30,"19,482.38",,,"18,307.38",,"1,175.00",,,,Y,
"10,271.00",,AMERON PIPE / TRACY,,,,,30,700.12,,,700.12,,0.00,,,,,
"10,284.00",,YOUNG'S COMMERCIAL TRANSFER,,,,,30,"1,130.00",,,880.00,,250.00,,,,,
"10,289.00",,LAKESIDE DAIRY - TULARE,,,,,45,"20,717.95",,,"20,717.95",,0.00,,,,,
"10,337.00",,PAUL HUIZENGA DAIRY,,,,,40,"116,860.95",,,"113,251.30",,"3,609.65",,,,,
"10,370.00",,"KEMPLER & CO., INC.",,,,,10,"242,647.36",,,"242,647.36",,0.00,,,,,
"10,427.00",,PARKER RESOURCE MANAGEMENT,,,,,30,"25,821.09",,,"24,089.89",,"1,731.20",,,,,
"10,446.00",,FRANK P.BARCELLOS & SONS DAIRY,,,,,45,"8,484.00",,,"8,484.00",,0.00,,,,,
"10,465.00",,"MCCLINTOCK DAIRY, LLP",,,,,45,"22,820.40",,,"22,820.40",,0.00,,,,,
"10,505.00",,MISSION DAIRY,,,,,45,"6,899.76",,,"6,899.76",,0.00,,,,,
"10,517.00",,WESTERN MILLING/GOSHEN WEST,,,,,30,"9,537.05",,,"9,537.05",,0.00,,,,,
"10,525.00",,CROSS COUNTRY DAIRY,,,,Y,30,"72,494.80",,,"65,632.90",,"6,861.90",,,,Y,
"10,574.00",,KNOTT'S BERRY FARM,,,,,30,"382,400.88",,,"372,479.92",,"9,920.96",,,,,
"10,599.00",,WIENERSCHNITZEL - BERMUDA DUNE,,,,Y,30,500.00,,,500.00,,0.00,,,,Y,
"10,634.00",,J & D STAR DAIRY,,,,,45,"120,549.59",,,"106,676.07",,"13,873.52",,,,,
"10,637.00",,CROWN GREASE,,,,,1,0.00,,,0.00,,0.00,,,,,
"10,640.00",,WEST WING DAIRY,,,,,40,"36,505.20",,,"36,505.20",,0.00,,,,,
"10,650.00",,NORTH STAR DAIRY,,,,,40,"466,618.26",,,"466,618.26",,0.00,,,,,
"10,652.00",,TONY COX & FAMILY DAIRY,,,,,40,"7,063.70",,,"7,063.70",,0.00,,,,,
"10,663.00",,JBS 5 RIVERS CATTLE,,,,,30,"413,344.70",,,"301,931.20",,"111,413.50",,,,,
"10,670.00",,BOSMA MILK COMPANY,,,,Y,40,"99,590.32",,,"99,590.32",,0.00,,,,Y,
"10,678.00",,TRILOGY DAIRY,,,,,40,"1,100,910.88",,,"1,097,458.46",,"3,452.42",,,,,
"10,687.00",,CIRCLE V DAIRY,,,,,40,"246,302.48",,,"246,302.48",,0.00,,,,,
"10,709.00",,"MESA VERDE TRADING CO., INC.",,,,Y,30,"7,410.00",,,"7,410.00",,0.00,,,,Y,
"10,714.00",,LAKESHORE DAIRY - SILAGE,,,,,30,"15,069.60",,,"15,069.60",,0.00,,,,,
"10,734.00",,"WEST TEXAS TRUCKING, INC.",,,,,1,0.00,,,0.00,,0.00,,,,,
"10,749.00",,"SUNRISE DAIRY FARM, LLC",,,,,40,"184,572.28",,,"180,736.14",,"3,836.14",,,,,
"10,831.00",,"PETRO-DIAMOND, INC.",,,,,10,"6,979,257.64",,,"6,979,257.64",,0.00,,,,,
"10,846.00",,"SPRINGLAKE DAIRY, LLC",,,,,45,"179,452.90",,,"179,452.90",,0.00,,,,,
"10,853.00",,DECADE DAIRY,,,,,40,"603,274.86",,,"1,144,253.84",,"-540,978.98",,,,,
"10,865.00",,WESTERN PACIFIC DAIRY,,,,,40,"23,968.91",,,"23,968.91",,0.00,,,,,
"10,871.00",,WOODCREST DAIRY / NM,,,,,50,"133,639.02",,,"129,924.52",,"3,714.50",,,,,
"10,878.00",,"SIDELINE DAIRY, LLC.",,,,,50,"330,351.16",,,"318,087.22",,"12,263.94",,,,,
"10,888.00",,CARGILL ANIMAL NUTRITION #2,,,,Y,30,"73,780.17",,,"73,780.17",,0.00,,,,Y,
"10,891.00",,"VICNRG, LLC",,,,,10,"1,098,080.76",,,"1,098,080.76",,0.00,,,,,
"10,926.00",,J.R. SIMPLOT COMPANY,,,,Y,45,"3,725.98",,,"3,295.98",,430.00,,,,Y,
"10,976.00",,NICKY ROTTENS,,,,Y,1,0.00,,,0.00,,0.00,,,,,
"10,996.00",,"RICH LEE FARMS, LLC.",,,,,30,"12,788.26",,,"12,788.26",,0.00,,,,,
"10,997.00",,OUTLOOK DAIRY,,,,,50,"69,973.92",,,"68,477.52",,"1,496.40",,,,,
"11,008.00",,L & J VANDERHAM DAIRY,,,,Y,40,"125,370.64",,,"106,867.68",,"18,502.96",,,,Y,
"11,020.00",,ID INDUSTRIES,,,,Y,30,"2,856.00",,,"1,932.00",,924.00,,,,Y,
"11,035.00",,AHLEM FOOTHILL FARMS,,,,,40,"237,862.52",,,"230,473.61",,"7,388.91",,,,,
"11,053.00",,CITY OF CAMARILLO,,,,,30,"41,598.00",,,"44,665.55",,"-3,067.55",,,,,
"11,057.00",,"SCHREIBER FOODS, INC.",,,,,20,698.00,,,698.00,,0.00,,,,,
"11,058.00",,BOVINA DAIRY,,,,,45,"390,307.52",,,"387,581.72",,"2,725.80",,,,,
"11,078.00",,GEOGREEN BIOFUELS,,,,,1,"-28,187.51",,,"-28,187.51",,0.00,,,,,
"11,132.00",,NARVAEZ TRANSPORT,,,,,1,0.00,,,0.00,,0.00,,,,,
"11,137.00",,"OR-CAL, INC.",,,,,40,"7,271.40",,,"7,271.40",,0.00,,,,,
"11,165.00",,GRILLED SANDWICHES LLC,,,,,30,"13,478.80",,,"13,478.80",,0.00,,,,,
"11,179.00",,CHINO VALLEY DAIRY,,,,Y,40,"1,512,437.73",,,"1,413,445.91",,"98,991.82",,,,Y,
"11,182.00",,KNEVELBAARD DAIRY,,,,,30,"9,716.00",,,"9,716.00",,0.00,,,,,
"11,199.00",,NICKY ROTTENS / CORONADO,,,,Y,30,0.00,,,0.00,,0.00,,,,Y,
"11,230.00",,"CROWN BUILDING PRODUCTS, INC.",,,,Y,1,0.00,,,0.00,,0.00,,,,,
"11,255.00",,"FAMOSO NUT COMPANY, LLC.",,,,,30,"13,990.00",,,"13,990.00",,0.00,,,,,
"11,258.00",,MANASSEH SANTOSCOY,,,,Y,1,91.74,,,100.00,,-8.26,,,,Y,
"11,281.00",,RANCHO SIERRA VISTA,,,,,40,"171,091.21",,,"171,091.21",,0.00,,,,,
"11,313.00",,"BRONSON INVESTMENT, INC.",,,,,30,"5,188.90",,,"5,188.90",,0.00,,,,,
"11,351.00",,MISC CASH SALE / NM,,,,Y,1,"4,851.00",,,"4,851.00",,0.00,,,,,
"11,360.00",,KERN OIL & REFINING CO.,,,,,10,"1,664,823.12",,,"1,622,305.33",,"42,517.79",,,,,
"11,370.00",,VALKYRIE DAIRY,,,,,40,"20,763.00",,,"20,763.00",,0.00,,,,,
"11,372.00",,SOUTH COAST BAKING,,,,,30,"1,490.00",,,"1,550.00",,-60.00,,,,,
"11,423.00",,"ARLINGTON CATTLE, CO.",,,,Y,1,"-3,463.95",,,"-3,463.95",,0.00,,,,,Y
"11,424.00",,"CASA GRANDE DAIRY CO., LLC.",,,,,40,"74,196.21",,,"74,196.21",,0.00,,,,,
"11,436.00",,MISC CASH SALE / OK,,,,Y,1,343.20,,,343.20,,0.00,,,,,
"11,508.00",,KEITH WATSON,,,,,30,"2,750.00",,,"2,750.00",,0.00,,,,,
"11,564.00",,BORAL ROOFING / AZ,,,,,60,"353,446.69",,,"352,211.95",,"1,234.74",,,,,
"11,565.00",,BORAL ROOFING / CO,,,,,60,"124,644.30",,,"124,664.30",,-20.00,,,,,
"11,567.00",,BORAL ROOFING / NV,,,,Y,60,"210,595.06",,,"210,595.06",,0.00,,,,Y,
"11,569.00",,KINERGY MARKETING,,,,,10,"551,000.00",,,"551,000.00",,0.00,,,,,
"11,576.00",,BORAL ROOFING / RIALTO,,,,,60,"358,898.06",,,"388,356.05",,"-29,457.99",,,,,
"11,588.00",,BORAL ROOFING / TX,,,,,60,"169,275.66",,,"167,906.16",,"1,369.50",,,,,
"11,589.00",,BORAL ROOFING / FRENCH CAMP,,,,,60,"87,747.57",,,"91,997.77",,"-4,250.20",,,,,
"11,592.00",,BORAL ROOFING / LAKE WALES,,,,,60,"688,626.36",,,"608,332.82",,"80,293.54",,,,,
"11,594.00",,BORAL ROOFING / LATHROP,,,,,60,"260,009.46",,,"256,211.46",,"3,798.00",,,,,
"11,653.00",,FARMER BOYS FOOD INC,,,,,30,"28,429.00",,,"27,835.00",,594.00,,,,,
"11,654.00",,FARMER BOYS CORP,,,,Y,30,"40,602.00",,,"39,338.00",,"1,264.00",,,,Y,N
"11,655.00",,FARMER BOYS REST.,,,,,30,550.00,,,550.00,,0.00,,,,,
"11,660.00",,JERSEY CREEK,,,,,40,"12,330.01",,,"12,330.01",,0.00,,,,,
"11,748.00",,GOLD STAR DAIRY LLC,,,,,40,"163,942.58",,,"163,942.58",,0.00,,,,,
"11,757.00",,LOMA VISTA DAIRY,,,,,60,-299.50,,,-299.50,,0.00,,,,,
"11,808.00",,ISIDRO JAVIER VALDEZ CRUZ,,,,,4,"896,054.08",,,"896,053.48",,0.60,,,,Y,
